palavra,contagem
ocorrência,1
perguntas,1
Milanez04,1
Four,1
“Há,1
mensagem,1
went,1
comoção.,1
Brumadinhovale,1
liga,1
crimes,1
realizou,1
Armadas,1
tecnologiaCulturaEsportesMundo,1
Romeu,1
repitam,1
foto,1
BrumadinhoColunaiEstará,1
Garanta,1
terça-feira,1
OkInstituições,1
aci...,1
é...,1
Photo,1
irá,1
Indenização,1
minerais,1
Centro,1
atuando,1
Rômulo,1
rejeitos.,1
criticados,1
"Somos""Vale",1
repassar,1
estrada,1
segundo,1
Chambersbarragem,1
dinÃ¢mica,1
estavam,1
Confirmados,1
AccountSee,1
bairros,1
geral,1
Seu,1
269),1
EBC,1
iron,1
LimaBarragensBrumadinhodesastres,1
20:49,1
complicações,1
CSN,1
às...Cerca,1
Andrioli,1
(Córrego,1
contrárias,1
salvar,1
nascer,1
tiveram,1
'Fui,1
Motta,1
probabilidade,1
ignoram,1
páginas,1
BrumadinhoRecord,1
Affected,1
comerciante,1
pressionando,1
doa,1
Engenho,1
chegaram,1
sítio,1
ativo,1
órgãos,1
relacionadasPF,1
visitou,1
arrebentou,1
madeira,1
inundado.,1
anunciar,1
guindaste.,1
parentes.,1
relatos,1
em:,1
doação,1
“Vamos,1
dói,1
Ricardo,1
país,1
acreditam,1
suscita,1
Washington,1
Índios,1
sociais,1
Aihara,1
padrão,1
disaster,1
lama:,1
Divulgação/Vale),1
parou,1
tornou,1
TopoJuiz,1
Comitê,1
ENTRETENIMENTOHomem,1
posicionamento,1
mostraram,1
sorte,1
suscitam,1
Central,1
[estado]SamarcoVale,1
HÉROIS,1
bastidores,1
crimes:,1
minerária,1
conoscoMoradores,1
terrível,1
Fundação,1
Cocais,1
country,1
simples.,1
falam,1
ConsequÃªncia,1
faces,1
áudio.Bombeiros,1
PIB,1
Trabalhadores,1
Diários,1
Soldado,1
estrago,1
demais,1
exclusividade,1
localizadas,1
plantar,1
(25),1
minuciosos,1
15.490,1
 Depois,1
tragédiaquery_builder,1
ano,1
investiga,1
Turistas,1
flexibilidade,1
Brumadinho.Band,1
Agricultores,1
holofotes,1
movimentaÃ§Ã£o,1
Caio,1
166,1
160,1
queriam,1
reúnem,1
férias,1
AceitarOAB,1
CharacterCorpo,1
"""a",1
SCHINCARIOL,1
Entrevista“Vale,1
it,1
Nas,1
comparativo,1
anosquery_builder,1
discurso,1
if,1
trabalhando,1
"""O",1
Estruturas,1
PatrickSputnik,1
Jornalismo,1
Época,1
MinasVideosVídeo,1
(@TvBandnews),1
aparecem,1
Betta,1
produziu,1
sindicatos,1
Vicentina,1
riscosquery_builder,1
"hoje""",1
SÜDVale,1
Venda,1
#brumadinho/barragem/rompimento,1
campo,1
quilômetro,1
Lula,1
14h02BrasilBrumadinho,1
emitido,1
Schvartsman,1
tenham,1
venda,1
bioma,1
InorCreate,1
Baixo,1
ele,1
rual,1
//jornal.usp.br/wp-content/uploads/2019/01/Desastre-Brumadinho-02-JORUSP-28-01-19.mp3,1
seguintes,1
brasileiro darkc0debr,1
municipal,1
Sistema,1
Mineração]Diário,1
jurídica,1
Plano,1
notícias,1
"""Daqui",1
trabalhou,1
inspeÃ§Ã£o,1
50,1
complexo,1
moram,1
gerente,1
avanço,1
people,1
avança,1
contaminados,1
desconhece,1
duvidosa,1
flagrou,1
anormais,1
Tensão,1
Região,1
[MG],1
neutralizar,1
for,1
muito,1
destrÃ³i,1
Arias,1
ThemeZee.Vereador,1
305,1
revistos,1
​Número,1
pedem,1
hÃ¡,1
Odilon,1
pontos,1
CompartilheCompartilheRelacionadasHÃ¡,1
algo,1
soa,1
tecnologia,1
solidão.,1
“Coitados.,1
Videos4:30MOMENTO,1
possibilidade,1
normas,1
UTCMoradores,1
Rainha,1
depto.,1
TavaresCompartilheEste,1
ÁvilaEnviado,1
décimo,1
"mundo""",1
AceitarBrumadinho:,1
cima,1
conversa,1
failure,1
Reunião,1
astÃºcias,1
226,1
prefeitura,1
chuvas,1
devido,1
têm-se,1
Depois,1
(20),1
peso,1
devastadas,1
minasmgminas,1
Pinto,1
Responsável,1
news.,1
comandados,1
Subiu,1
segunda-feira,1
versão,1
ganham,1
despede,1
MídiaKitGeólogo,1
Perderam,1
Minas12,1
fazendas,1
expõem,1
quê.,1
benefício,1
modelo,1
Serras,1
humor,1
maisHistÃ³ria:,1
obras,1
armazenar,1
Filters,1
malfeitos,1
classificadas,1
anualmente,1
alegou,1
Powered,1
considerada,1
Estrella/G1,1
Começa,1
prevê,1
AceitarAumenta,1
zona,1
feitas,1
torna,1
(MDB-MG),1
causadas,1
terror,1
Inácio,1
mineração]barragemBrumadinho,1
minuto,1
zeeDynamic,1
mortas.,1
Just,1
did,1
querem,1
diferenÃ§as,1
estrutura.,1
siga,1
Campaigners,1
reservados.Zema,1
Soterrados,1
crianças,1
cost,1
17h02BRASILBrumadinho:,1
peças,1
voltem,1
curso,1
Boscov,1
Que,1
Categories,1
ChannelItatiaia,1
rua,1
colocadas,1
mudar,1
melhor,1
gratuita.,1
econômica,1
alta,1
provocada,1
Estrutura,1
Mineração,1
Corte,1
transparência',1
Dezessete,1
prisão,1
[MG]barragemmineração,1
vivia,1
company’s,1
Bombeiro,1
organização,1
(da,1
MarianaâSem,1
fechando,1
físicas,1
tÃªm,1
Time,1
Tropa,1
seguinte,1
SBT,1
account?orCreate,1
#barragembrumadinho,1
varrer,1
(com,1
can,1
BrumadinhoNo,1
pic.twitter.com/eZTuEwScVs,1
completará,1
TopoDe,1
lógica,1
PÃºblico,1
Federal,1
construiu,1
13:30Momento,1
perdem,1
noite,1
(12),1
perdeu,1
impacto,1
penitenciáriaquery_builder,1
burstMinas,1
https://www1.folha.uol.com.br/cotidiano/2019/02/advogados-rondam-atingidos-por-barragem-em-brumadinho-ate-em-velorio.shtml,1
(MG)Procurador,1
Gomes,1
reservados.Vídeo,1
142,1
primeiro,1
"Feijão""É",1
08/02/2019,1
critica,1
data,1
mal,1
reivindicada,1
Espaço,1
físicos,1
acionar,1
Joceli,1
ENTRETENIMENTOO,1
possuía,1
desastre”Ricardo,1
Maioria,1
aposentado,1
forma,1
indenizar,1
ambientaislicenciamento,1
museu,1
"""força",1
pressões,1
cujos,1
brumadinhohistóriainteresse,1
Risco,1
GloboNews,1
not,1
“A,1
drenagem,1
recuperação,1
contaminada,1
noO,1
